carat,cut,colour,clarity,Length,Width,height,depth ratio,table,Grading
0.3,Premium,F,VS1,4.31,4.29,2.6,60.5,60, Low  
0.3,Ideal,D,SI2,4.3,4.33,2.68,62.1,57, Low  
1.2,Fair,I,I1,6.61,6.51,4.34,66.2,55,Mid  
2.09,Ideal,H,SI2,8.3,8.2,5,60.6,57,High  
0.3,Ideal,F,IF,4.32,4.35,2.69,62.1,55, Low  
0.4,Ideal,D,VVS2,4.74,4.76,2.94,61.9,56,Mid  
0.9,Very Good,H,SI2,6.13,6.23,3.84,62.1,56,Mid  
0.3,Premium,G,VS1,4.32,4.28,2.66,61.9,59, Low  
0.34,Premium,F,VS2,4.5,4.46,2.72,60.7,60, Low  
1.7,Good,J,VS2,7.53,7.48,4.77,63.6,59,High  
0.34,Premium,D,SI1,4.46,4.42,2.77,62.4,58, Low  
0.55,Ideal,F,VS2,5.27,5.31,3.23,61.1,56,Mid  
0.55,Ideal,G,VS1,5.25,5.28,3.24,61.5,56.7,Mid  
0.23,Very Good,F,VVS2,3.93,3.97,2.41,61,59, Low  
0.41,Ideal,I,VS2,4.77,4.81,2.93,61.2,56,Mid  
1.31,Very Good,G,VVS2,6.91,6.98,4.32,62.2,59,High  
2.01,Very Good,H,VS2,7.92,7.86,5.01,63.5,59,High  
0.9,Very Good,F,SI2,6.21,6.24,3.82,61.4,57,Mid  
2.04,Premium,H,SI1,8.08,8.04,5.04,62.5,61,High  
0.37,Premium,F,SI1,4.62,4.67,2.86,61.6,59, Low  
0.75,Ideal,J,SI2,5.91,5.87,3.58,60.8,57,Mid  
0.41,Ideal,H,VS1,4.84,4.8,2.94,61,54,Mid  
0.9,Very Good,F,SI1,6.12,6.16,3.85,62.7,59,Mid  
0.5,Very Good,G,VVS2,5.07,5.1,3.16,62.1,61,Mid  
1.17,Premium,F,VS2,6.76,6.71,4.2,62.4,56,High  
0.24,Very Good,E,VVS1,3.91,3.95,2.49,63.4,57, Low  
0.52,Good,D,SI2,5.11,5.1,3.25,63.7,55,Mid  
0.39,Premium,E,VVS2,4.68,4.74,2.88,61.1,59,Mid  
1.02,Very Good,H,SI1,6.39,6.36,4.05,63.5,58,Mid  
0.3,Ideal,E,VVS1,4.33,4.36,2.66,61.2,57,Mid  
1.51,Good,H,VS2,7.16,7.22,4.62,64.2,58.5,High  
1.02,Premium,D,SI1,6.53,6.47,3.94,60.6,59,Mid  
1.52,Very Good,D,SI2,7.31,7.25,4.6,63.2,58,High  
0.94,Premium,F,SI1,6.39,6.35,3.81,59.8,61,Mid  
0.33,Ideal,H,VVS1,4.46,4.49,2.75,61.5,56, Low  
1.51,Ideal,F,SI1,7.35,7.41,4.55,61.7,56,High  
0.71,Ideal,E,VS2,5.73,5.75,3.54,61.7,56,Mid  
0.31,Ideal,E,VS1,4.33,4.34,2.68,61.8,56, Low  
1.63,Ideal,G,VS1,7.58,7.6,4.67,61.5,57,High  
0.4,Very Good,D,SI2,4.64,4.69,2.94,63,59, Low  
1.51,Very Good,F,SI1,7.48,7.57,4.47,59.4,57,High  
0.71,Premium,H,SI2,5.72,5.7,3.51,61.5,60,Mid  
0.9,Very Good,F,SI2,6.14,6.18,3.76,61,61,Mid  
0.71,Good,E,SI2,5.68,5.61,3.62,64,56,Mid  
1.4,Ideal,H,SI2,7.23,7.18,4.41,61.2,56,High  
0.5,Ideal,E,SI1,5.06,5.09,3.14,61.9,60,Mid  
1.01,Very Good,I,SI1,6.41,6.35,4.03,63.2,54,Mid  
2.17,Fair,G,I1,8.75,8.69,4.8,55.6,62,High  
0.4,Ideal,E,VS1,4.76,4.8,2.93,61.3,56,Mid  
0.31,Good,H,SI1,4.31,4.29,2.75,64,54, Low  
1.06,Ideal,H,SI2,6.65,6.63,3.99,60.1,59,Mid  
1.2,Ideal,E,SI2,6.85,6.88,4.21,61.3,56,Mid  
0.33,Premium,G,VS2,4.47,4.43,2.72,61.1,59, Low  
1.44,Good,G,I1,7.18,7.21,4.54,63.2,54.8,Mid  
1.51,Premium,E,SI1,7.33,7.25,4.56,62.6,55,High  
0.7,Premium,G,SI1,5.69,5.74,3.51,61.4,60,Mid  
0.74,Fair,E,SI2,5.49,5.43,3.64,66.7,62,Mid  
1.05,Ideal,D,SI2,6.5,6.53,4.03,61.9,56,Mid  
0.89,Ideal,G,VVS2,6.22,6.19,3.83,61.7,55,Mid  
1.05,Ideal,H,IF,6.62,6.59,4.04,61.2,55,High  
0.31,Premium,J,VS2,4.34,4.29,2.69,62.3,60, Low  
0.82,Very Good,F,VVS2,5.91,5.97,3.75,63.1,59,Mid  
2,Fair,H,VS2,7.92,7.87,5.15,65.2,56,High  
0.5,Premium,E,VS2,5.11,5.05,3.14,61.8,58,Mid  
1.04,Premium,F,SI2,6.49,6.44,4.05,62.6,58,Mid  
0.7,Ideal,F,SI2,5.73,5.77,3.53,61.4,55,Mid  
0.57,Ideal,F,VS2,5.36,5.3,3.32,62.3,55,Mid  
0.71,Very Good,H,VS2,5.68,5.72,3.57,62.6,56,Mid  
0.3,Ideal,G,VVS1,4.32,4.34,2.67,61.7,55, Low  
1.2,Very Good,H,VS2,6.74,6.67,4.24,63.2,55,Mid  
0.31,Ideal,F,VS2,4.39,4.35,2.69,61.6,56, Low  
1.89,Ideal,J,VS1,7.93,7.98,4.93,62,56,High  
1,Good,F,VS2,6.27,6.32,4.01,63.7,59,Mid  
0.77,Very Good,E,SI1,5.8,5.84,3.68,63.2,58,Mid  
0.31,Ideal,D,SI1,4.33,4.37,2.7,62.1,56, Low  
0.24,Very Good,D,VS1,3.95,3.99,2.47,62.2,58, Low  
1.12,Premium,H,SI1,6.72,6.62,4.11,61.6,58,Mid  
1.04,Fair,G,VS1,6.36,6.33,4.12,64.9,58,Mid  
1.52,Premium,H,VS1,7.3,7.44,4.55,61.4,58,High  
0.28,Ideal,G,VVS2,4.18,4.2,2.58,61.6,56, Low  
0.7,Very Good,I,SI2,5.64,5.68,3.53,62.4,58,Mid  
0.26,Ideal,E,VVS2,4.09,4.06,2.54,62.3,57, Low  
0.31,Good,D,SI1,4.33,4.29,2.75,63.8,57, Low  
0.57,Ideal,G,VVS2,5.3,5.33,3.28,61.7,56,Mid  
0.5,Good,D,SI1,5.02,4.93,3.18,63.9,56,Mid  
1.5,Good,I,SI1,7.27,7.34,4.46,61.1,63,High  
0.5,Very Good,J,VS2,5.06,5.01,3.18,63.2,60,Mid  
1.52,Good,E,VS1,7.25,7.21,4.62,63.9,56,High  
1.71,Ideal,G,VS1,7.72,7.65,4.78,62.2,55,High  
0.43,Premium,E,SI2,4.82,4.89,2.97,61.2,59, Low  
2.3,Ideal,H,SI2,8.4,8.35,5.25,62.6,57,High  
0.76,Very Good,F,VS2,5.8,5.86,3.62,62,58,Mid  
0.37,Ideal,E,VVS2,4.61,4.64,2.86,61.8,54, Low  
2.01,Premium,H,SI1,8.06,7.96,4.94,61.7,60,High  
0.51,Premium,E,SI1,5.07,5.06,3.18,62.8,61,Mid  
0.32,Premium,H,VS2,4.44,4.47,2.7,60.6,58, Low  
0.31,Ideal,G,VS1,4.34,4.37,2.72,62.5,57, Low  
0.9,Premium,E,SI1,6.21,6.16,3.88,62.2,59,Mid  
0.72,Premium,J,SI1,5.84,5.78,3.54,60.9,57,Mid  
1.03,Ideal,G,VS1,6.5,6.53,4,61.4,55,High  
0.91,Good,G,SI1,6.05,6.1,3.86,63.5,61,Mid  
2.05,Premium,D,SI1,8.26,8.16,4.96,60.4,58,High  
2.08,Premium,H,SI2,8.12,8.03,5.07,62.8,60,High  
1.03,Ideal,F,I1,6.51,6.54,3.99,61.1,55,Mid  
0.52,Ideal,G,VS1,5.14,5.17,3.2,62.1,54,Mid  
0.8,Ideal,G,VS2,6.02,6.07,3.7,61.2,57,Mid  
0.7,Very Good,G,VS2,5.65,5.61,3.55,63.1,58,Mid  
1.54,Very Good,G,VS2,7.3,7.36,4.62,63,59,High  
0.39,Ideal,G,VS1,4.71,4.66,2.9,62,55,Mid  
0.3,Ideal,H,VS1,4.3,4.32,2.67,61.9,58, Low  
0.51,Very Good,G,VS1,5.17,5.19,3.16,61,56,Mid  
0.59,Ideal,E,VS2,5.33,5.42,3.3,61.4,56,Mid  
0.4,Ideal,F,SI1,4.71,4.76,2.93,61.9,57, Low  
0.41,Good,I,VS1,4.72,4.67,2.99,63.7,57, Low  
0.52,Premium,F,VS2,5.15,5.11,3.17,61.8,59,Mid  
0.52,Very Good,G,VS1,5.12,5.09,3.23,63.3,55,Mid  
0.9,Very Good,E,SI1,6.25,6.29,3.77,60.1,58,Mid  
0.31,Good,G,VS1,4.28,4.33,2.72,63.2,57, Low  
0.62,Very Good,I,VS2,5.48,5.52,3.33,60.7,57.3,Mid  
0.3,Ideal,G,SI2,4.31,4.33,2.67,61.8,57, Low  
0.31,Very Good,H,VVS1,4.32,4.34,2.68,61.9,58, Low  
0.72,Premium,G,VS1,5.71,5.66,3.51,61.7,59,Mid  
0.3,Premium,G,VS1,4.32,4.3,2.67,61.9,59, Low  
0.41,Very Good,E,SI1,4.78,4.73,3,63.1,57, Low  
0.3,Ideal,F,VS1,4.34,4.29,2.7,62.6,57, Low  
0.51,Ideal,G,VVS2,5.15,5.19,3.2,61.9,55,Mid  
1,Very Good,F,SI1,6.33,6.38,3.93,61.8,59,Mid  
0.54,Ideal,E,VVS2,5.26,5.31,3.22,61.1,56,Mid  
0.44,Premium,G,SI1,4.82,4.87,3,61.9,59, Low  
0.3,Ideal,D,VS2,4.34,4.33,2.66,61.4,54, Low  
1.13,Premium,H,SI2,6.68,6.65,4.15,62.3,57,Mid  
0.9,Very Good,D,SI1,6.18,6.15,3.85,62.4,63,Mid  
0.7,Very Good,H,SI1,5.72,5.76,3.51,61.1,56,Mid  
0.31,Ideal,G,VVS1,4.34,4.33,2.71,62.5,55,Mid  
1.08,Ideal,H,SI1,6.71,6.69,4,59.7,60,Mid  
0.7,Ideal,I,SI1,5.7,5.73,3.57,62.5,55,Mid  
0.78,Ideal,I,VS1,5.91,5.94,3.67,61.9,56,Mid  
0.52,Premium,H,VS1,5.27,5.23,3.11,59.2,60,Mid  
0.51,Very Good,E,VVS1,5.08,5.12,3.17,62.2,60,Mid  
1.5,Good,E,VS2,7.58,7.53,4.37,57.8,63,High  
0.36,Ideal,D,SI1,4.63,4.68,2.77,59.5,56, Low  
0.6,Premium,G,VVS2,5.55,5.5,3.3,59.7,60,Mid  
0.73,Ideal,E,VS1,5.75,5.8,3.6,62.3,56,Mid  
1.2,Very Good,I,SI1,6.73,6.78,4.25,62.9,57,Mid  
0.44,Premium,F,VS2,4.83,4.88,3.02,62.2,58, Low  
0.52,Premium,F,SI1,5.21,5.17,3.17,61.1,59,Mid  
0.3,Premium,E,SI1,4.28,4.24,2.67,62.7,60, Low  
0.53,Ideal,G,VVS2,5.21,5.19,3.25,62.5,54,Mid  
0.36,Very Good,G,SI1,4.53,4.56,2.82,62,59, Low  
0.71,Very Good,H,VVS2,5.64,5.72,3.58,63,58,Mid  
0.95,Premium,G,SI2,6.35,6.27,3.77,59.7,61,Mid  
0.91,Good,G,VS1,6.03,6.11,3.86,63.6,60,Mid  
0.73,Premium,I,VS1,5.83,5.87,3.53,60.3,58,Mid  
0.7,Premium,F,VS2,5.78,5.74,3.47,60.2,59,Mid  
1.02,Premium,F,VS2,6.54,6.42,3.97,61.3,58,Mid  
1.62,Premium,I,VS1,7.55,7.47,4.63,61.7,59,High  
0.26,Ideal,H,IF,4.16,4.12,2.53,61.1,57, Low  
0.38,Ideal,F,VVS2,4.66,4.7,2.85,60.9,58, Low  
1.14,Ideal,F,VVS2,6.73,6.68,4.15,61.9,57,High  
0.3,Premium,H,SI2,4.37,4.34,2.62,60.2,62, Low  
1.51,Ideal,I,SI1,7.35,7.3,4.59,62.7,57,High  
0.83,Ideal,D,SI1,6.04,6.06,3.71,61.3,56,Mid  
0.57,Ideal,E,SI1,5.33,5.3,3.3,62.1,56,Mid  
0.53,Premium,E,SI1,5.27,5.24,3.21,60,60,Mid  
1.25,Premium,I,SI2,6.99,6.95,4.19,60.1,60,Mid  
0.71,Fair,G,SI1,5.57,5.53,3.61,65,58,Mid  
0.8,Very Good,F,SI1,5.9,5.92,3.7,62.6,58,Mid  
0.7,Very Good,F,SI1,5.77,5.79,3.42,59.2,60,Mid  
1.09,Very Good,J,VS2,6.56,6.63,4.11,62.3,59,Mid  
1.13,Ideal,G,VS2,6.68,6.71,4.14,61.9,56,High  
0.71,Premium,E,VVS2,5.88,5.82,3.45,59,59,Mid  
0.3,Premium,F,VS2,4.29,4.26,2.63,61.5,60, Low  
0.31,Ideal,G,IF,4.34,4.31,2.71,62.7,57, Low  
0.39,Premium,E,VVS1,4.69,4.73,2.86,60.7,58,Mid  
1.2,Very Good,G,VS2,6.69,6.64,4.22,63.3,57,Mid  
1.07,Premium,F,VS2,6.55,6.5,4.07,62.4,57,Mid  
1,Fair,G,VS1,6.32,6.17,3.94,63.1,68,Mid  
1.5,Premium,F,VS2,7.36,7.33,4.49,61.1,58,High  
0.9,Ideal,H,SI2,6.18,6.11,3.86,62.8,55,Mid  
1.05,Ideal,H,SI1,6.52,6.43,4.05,62.5,56,Mid  
0.36,Ideal,G,IF,4.56,4.59,2.83,61.9,55,Mid  
0.41,Premium,D,VVS2,4.8,4.78,2.98,62.2,58,Mid  
1.24,Premium,F,SI2,6.83,6.77,4.26,62.7,59,Mid  
0.24,Very Good,E,VS2,3.99,4.02,2.47,61.7,57, Low  
1.2,Premium,I,SI1,6.88,6.8,4.18,61.1,58,Mid  
1.56,Premium,J,VS1,7.49,7.52,4.58,61.1,59,High  
0.39,Ideal,G,VVS2,4.7,4.72,2.88,61.1,56, Low  
0.31,Ideal,G,IF,4.39,4.34,2.69,61.6,55, Low  
0.3,Ideal,G,VVS1,4.32,4.35,2.65,61.1,57, Low  
0.34,Ideal,D,VS2,4.52,4.5,2.74,60.8,57,Mid  
0.7,Premium,G,VS1,5.68,5.77,3.49,61,59,Mid  
0.31,Very Good,G,VS2,4.31,4.34,2.72,62.9,57, Low  
0.53,Premium,G,VS2,5.21,5.18,3.22,62,58,Mid  
2.05,Premium,G,SI1,8.2,8.16,5.04,61.6,59,High  
0.38,Ideal,E,VS1,4.67,4.65,2.87,61.6,56,Mid  
0.5,Ideal,E,VS1,5.09,5.12,3.16,61.9,56,Mid  
0.35,Premium,G,VS1,4.52,4.49,2.82,62.6,56, Low  
1.01,Premium,H,SI2,6.51,6.46,3.94,60.8,59,Mid  
1.22,Ideal,G,IF,6.87,6.91,4.25,61.7,56,High  
0.26,Ideal,F,VVS2,4.1,4.12,2.57,62.5,56, Low  
0.3,Premium,E,VS2,4.4,4.37,2.63,60,58, Low  
0.32,Ideal,D,SI2,4.38,4.42,2.72,61.8,55, Low  
0.26,Very Good,G,VVS1,4.1,4.13,2.52,61.2,56, Low  
0.55,Premium,E,VS2,5.32,5.26,3.2,60.5,58,Mid  
1.5,Fair,H,I1,7.07,7.02,4.63,65.7,58,Mid  
1.13,Premium,H,I1,6.63,6.58,4.14,62.7,59,Mid  
0.32,Ideal,G,VS1,4.37,4.39,2.73,62.3,54, Low  
0.9,Ideal,H,SI1,6.17,6.23,3.82,61.6,56,Mid  
0.4,Premium,I,VVS1,4.71,4.67,2.94,62.7,59,Mid  
0.3,Ideal,F,VS1,4.3,4.32,2.68,62.4,56, Low  
2.3,Premium,H,SI2,8.46,8.42,5.29,62.7,56,High  
0.37,Premium,G,VS2,4.71,4.67,2.78,59.3,60, Low  
0.31,Ideal,D,SI1,4.38,4.4,2.7,61.5,55, Low  
0.58,Ideal,F,VVS2,5.32,5.4,3.31,62,55,Mid  
0.73,Very Good,F,VVS1,5.79,5.83,3.52,60.6,56,Mid  
0.74,Very Good,I,VS2,5.83,5.85,3.55,60.8,59,Mid  
0.41,Ideal,D,VS1,4.8,4.75,2.95,61.8,57,Mid  
2.53,Premium,H,SI2,8.66,8.55,5.39,62.6,60,High  
2.08,Good,I,SI2,8.02,8.1,5.14,63.8,58,High  
0.5,Premium,E,VS2,5.11,5.13,3.11,60.7,59,Mid  
2.13,Ideal,H,SI2,8.21,8.25,5.09,61.8,57,High  
2.01,Premium,E,SI1,8.05,7.98,4.84,60.4,61,High  
0.5,Good,D,SI1,5.05,5.07,3.09,61.1,64,Mid  
0.33,Ideal,D,VS2,4.42,4.44,2.74,61.9,56, Low  
0.34,Ideal,D,VS2,4.45,4.49,2.77,62,55, Low  
1,Ideal,G,VVS1,6.4,6.29,3.95,62.3,56,High  
1.03,Ideal,I,VS1,6.48,6.4,4.02,62.4,57,Mid  
0.56,Ideal,H,VVS1,5.28,5.31,3.29,62.1,54,Mid  
1.35,Premium,J,SI1,7.15,7.09,4.42,62.1,54,Mid  
1.51,Premium,J,SI1,7.46,7.41,4.45,59.9,60,High  
1.57,Premium,F,SI1,7.57,7.54,4.56,60.4,59,High  
0.42,Premium,E,VS2,4.82,4.85,2.95,61,59, Low  
1.01,Premium,F,SI1,6.4,6.36,4.01,62.8,59,Mid  
1.25,Very Good,G,VS1,6.81,6.93,4.31,62.7,56,High  
0.41,Ideal,G,VVS2,4.77,4.76,2.92,61.3,56,Mid  
1.02,Premium,I,SI2,6.45,6.42,3.99,62,59,Mid  
2.31,Fair,G,I1,8.05,7.99,5.41,67.4,56,High  
1.23,Premium,F,SI2,6.85,6.95,4.26,61.7,58,Mid  
0.34,Ideal,H,VS2,4.5,4.54,2.78,61.5,54, Low  
1.05,Premium,G,SI2,6.58,6.66,3.98,60.1,60,Mid  
0.35,Ideal,G,VVS2,4.54,4.58,2.78,61,57, Low  
0.41,Premium,F,SI2,4.89,4.87,2.88,59,58, Low  
0.38,Very Good,J,VVS2,4.62,4.56,2.91,63.4,56, Low  
1.51,Premium,E,VS2,7.46,7.37,4.5,60.7,60,High  
1.05,Ideal,I,SI1,6.54,6.55,4.06,62.1,54,Mid  
1,Very Good,E,SI2,6.24,6.27,4,63.9,57,Mid  
0.5,Very Good,E,SI1,5.14,5.16,3.19,61.9,53,Mid  
0.31,Ideal,E,IF,4.43,4.38,2.66,60.4,56,Mid  
0.7,Very Good,G,SI2,5.79,5.81,3.42,59,62,Mid  
0.91,Ideal,E,SI1,6.21,6.25,3.88,62.3,57,Mid  
0.51,Ideal,E,VS2,5.2,5.15,3.15,60.9,56,Mid  
0.3,Premium,E,SI2,4.31,4.28,2.64,61.5,62, Low  
0.72,Ideal,F,VS2,5.78,5.83,3.56,61.3,55,Mid  
0.3,Ideal,G,VVS2,4.31,4.33,2.67,61.8,57, Low  
0.31,Ideal,E,VS1,4.32,4.35,2.67,61.6,57, Low  
1.87,Very Good,H,SI1,7.79,7.83,4.91,62.9,58,High  
1.05,Ideal,G,VS1,6.51,6.55,4.06,62.2,53,High  
0.41,Ideal,F,VVS2,4.79,4.78,2.96,61.9,55,Mid  
0.52,Ideal,F,SI1,5.31,5.29,3.2,60.4,56,Mid  
0.57,Ideal,D,SI1,5.34,5.31,3.25,61,57,Mid  
1.02,Very Good,F,VS1,6.37,6.43,4.01,62.7,55,High  
1.02,Ideal,G,SI2,6.52,6.47,3.99,61.4,56,Mid  
0.38,Very Good,G,VS1,4.71,4.74,2.87,60.7,55,Mid  
0.51,Premium,F,VS2,5.13,5.09,3.14,61.4,58,Mid  
0.81,Good,G,SI2,5.94,5.99,3.64,61,61,Mid  
1,Very Good,E,SI2,6.33,6.4,3.86,60.6,60,Mid  
0.51,Ideal,E,SI2,5.16,5.2,3.16,61,56,Mid  
1.32,Ideal,I,VS1,7.12,7.06,4.34,61.2,57,High  
0.34,Ideal,G,VS2,4.46,4.51,2.79,62.2,53, Low  
0.51,Good,D,SI1,5.06,5.09,3.21,63.3,57,Mid  
0.79,Premium,H,VS2,5.96,5.93,3.63,61.1,59,Mid  
1.12,Very Good,D,SI1,6.76,6.8,4.06,59.9,57,Mid  
0.39,Premium,G,SI1,4.77,4.7,2.92,61.7,57, Low  
0.27,Very Good,D,VS1,4.14,4.15,2.58,62.2,58, Low  
0.34,Ideal,H,VVS2,4.52,4.55,2.77,61.1,56, Low  
0.57,Ideal,E,VS1,5.29,5.27,3.32,62.9,57,Mid  
0.55,Good,F,VS1,5.3,5.35,3.17,59.5,62,Mid  
0.9,Very Good,F,VS2,6.08,6.04,3.83,63.2,59,Mid  
0.7,Fair,F,VS1,5.56,5.59,3.62,64.9,59,Mid  
1.32,Premium,I,SI2,7.01,6.95,4.28,61.3,59,Mid  
0.32,Ideal,D,SI1,4.37,4.4,2.75,62.7,54, Low  
0.3,Ideal,F,VVS1,4.28,4.3,2.67,62.2,56, Low  
1.52,Ideal,H,SI1,7.39,7.44,4.54,61.3,56,High  
1.02,Premium,E,SI1,6.45,6.39,4.03,62.8,58,Mid  
0.38,Ideal,F,VVS1,4.68,4.64,2.9,62.2,57,Mid  
0.78,Ideal,F,VS1,5.9,5.92,3.64,61.6,56,Mid  
0.24,Very Good,E,VS1,4.02,4.11,2.43,59.8,58, Low  
0.25,Good,H,VVS1,4.05,4.07,2.46,60.6,64, Low  
0.7,Very Good,F,SI1,5.67,5.72,3.52,61.8,58,Mid  
0.9,Very Good,D,VS1,6.14,6.18,3.83,62.2,58,Mid  
0.5,Good,F,VS2,4.93,4.97,3.23,65.3,57,Mid  
0.99,Ideal,I,SI1,6.4,6.42,3.96,61.8,57,Mid  
0.32,Ideal,E,VS2,4.49,4.42,2.71,60.8,55, Low  
0.71,Ideal,E,SI1,5.77,5.72,3.52,61.3,55,Mid  
1.01,Very Good,F,VVS1,6.35,6.41,4.01,62.9,57,High  
1.12,Premium,G,SI2,6.62,6.57,4.14,62.8,58,Mid  
0.3,Ideal,G,VS2,4.28,4.3,2.66,62,56, Low  
0.3,Good,H,SI1,4.27,4.29,2.71,63.3,56, Low  
0.35,Ideal,I,VVS2,4.56,4.58,2.81,61.5,55, Low  
2.04,Good,D,SI1,8.15,8.11,5.03,61.9,60,High  
1.16,Ideal,D,SI2,6.79,6.74,4.2,62.1,54,Mid  
0.31,Premium,F,VS2,4.35,4.38,2.69,61.6,58, Low  
0.31,Very Good,H,VVS2,4.32,4.37,2.67,61.4,58, Low  
0.72,Very Good,I,VS2,5.76,5.79,3.53,61.1,56,Mid  
2.07,Ideal,G,SI2,8.23,8.13,5.07,62,55,High  
1.51,Premium,G,VS2,7.44,7.33,4.52,61.2,61,High  
1.2,Premium,H,SI1,6.91,6.78,4.19,61.2,57,Mid  
1.25,Ideal,H,SI2,6.92,6.87,4.32,62.7,56,Mid  
0.39,Ideal,D,VS1,4.68,4.7,2.9,61.8,57, Low  
0.48,Ideal,G,IF,5.03,5.08,3.13,61.9,55,Mid  
0.57,Ideal,E,VVS2,5.36,5.4,3.26,60.6,56.2,Mid  
2,Good,J,SI2,7.97,8.06,4.93,61.5,61,High  
0.52,Premium,F,SI2,5.11,5.07,3.19,62.7,57,Mid  
0.9,Good,H,SI2,6.11,6.16,3.76,61.3,61,Mid  
0.34,Ideal,H,VS1,4.46,4.43,2.78,62.5,57, Low  
1.2,Very Good,G,VS2,6.82,6.75,4.29,63.2,56,High  
1.21,Premium,G,SI2,6.9,6.96,4.18,60.3,58,Mid  
0.51,Ideal,E,VS2,5.18,5.15,3.12,60.4,57,Mid  
1.14,Ideal,H,VS2,6.71,6.72,4.16,62,55,High  
1.15,Premium,D,SI1,6.83,6.76,4.15,61.1,53,High  
2.02,Ideal,I,SI1,8.07,8.11,5.04,62.3,57,High  
0.35,Premium,D,VS2,4.54,4.56,2.82,62,58, Low  
0.3,Premium,H,VS1,4.27,4.21,2.67,63,59, Low  
0.3,Ideal,G,VVS2,4.32,4.3,2.71,62.9,55, Low  
1.52,Ideal,F,SI1,7.38,7.41,4.6,62.2,56,High  
1.3,Ideal,H,VS2,7,6.96,4.39,62.9,56,Mid  
0.5,Ideal,J,VS1,5.06,5.09,3.17,62.5,57,Mid  
0.31,Very Good,G,VS2,4.28,4.34,2.71,62.9,56, Low  
1.13,Ideal,E,VVS1,6.68,6.71,4.12,61.5,56,High  
0.36,Very Good,E,SI1,4.52,4.57,2.86,62.9,56, Low  
0.63,Good,H,VS1,5.47,5.56,3.47,62.9,54,Mid  
1,Good,E,SI2,6.3,6.36,4.01,63.3,56,Mid  
1.71,Premium,D,SI2,7.76,7.69,4.68,60.6,60,High  
0.3,Ideal,H,SI1,4.33,4.37,2.68,61.6,54, Low  
0.43,Ideal,D,VS2,4.91,4.88,2.97,60.7,57,Mid  
1,Very Good,I,SI2,6.41,6.34,3.88,60.8,63,Mid  
0.32,Ideal,E,VS2,4.42,4.45,2.72,61.3,57, Low  
0.52,Ideal,H,VS1,5.17,5.22,3.17,61.1,57,Mid  
0.84,Fair,F,VS2,5.83,5.87,3.81,65,57.2,Mid  
0.71,Ideal,F,VS1,5.71,5.67,3.56,62.6,55,Mid  
0.38,Ideal,I,VVS1,4.64,4.66,2.9,62.4,54.8, Low  
0.9,Premium,D,SI1,6.15,6.09,3.84,62.7,58,Mid  
1.25,Premium,H,SI2,6.95,6.85,4.25,61.6,54,Mid  
0.57,Ideal,I,VS2,5.35,5.4,3.31,61.6,54,Mid  
0.33,Ideal,D,SI2,4.47,4.5,2.74,61.1,57, Low  
0.84,Very Good,G,VVS2,6.07,6.12,3.68,60.4,55,Mid  
0.54,Ideal,H,SI1,5.28,5.32,3.21,60.6,57,Mid  
0.79,Very Good,E,SI1,5.91,5.83,3.71,63.2,56,Mid  
0.35,Good,E,VS1,4.6,4.62,2.74,59.4,55, Low  
0.72,Good,H,VS2,5.68,5.75,3.53,61.8,61,Mid  
0.55,Premium,G,VS1,5.36,5.32,3.17,59.4,62,Mid  
1.57,Premium,D,SI1,7.44,7.39,4.62,62.3,59,High  
0.81,Premium,G,VS1,5.96,5.92,3.69,62.1,58,Mid  
0.7,Good,F,VVS2,5.6,5.66,3.55,63.1,58,Mid  
1.01,Ideal,F,VS1,6.46,6.5,3.96,61.1,59,High  
1.32,Premium,H,SI2,7.21,7.09,4.25,59.4,54,Mid  
0.52,Good,G,VS1,5.08,5.12,3.26,63.9,56,Mid  
1.21,Premium,G,VS1,6.85,6.76,4.27,62.7,58,High  
0.4,Ideal,J,IF,4.7,4.74,2.95,62.5,56, Low  
1.5,Premium,I,VVS2,7.5,7.34,4.47,60.2,58,High  
0.7,Ideal,H,SI1,5.69,5.71,3.56,62.5,55,Mid  
0.33,Premium,G,SI1,4.44,4.39,2.75,62.3,59, Low  
0.9,Premium,H,VS2,6.27,6.24,3.78,60.4,59,Mid  
0.24,Very Good,F,VS2,3.98,4,2.49,62.4,58, Low  
0.59,Good,E,VS2,5.36,5.4,3.3,61.3,62,Mid  
1,Premium,G,VVS2,6.43,6.34,3.99,62.5,60,High  
0.73,Very Good,E,SI1,5.65,5.7,3.59,63.3,60,Mid  
2.48,Premium,I,VS2,8.83,8.76,5.29,60.1,58,High  
0.5,Premium,E,SI2,5.19,5.16,3.08,59.5,59,Mid  
1.04,Very Good,H,SI1,6.55,6.58,3.92,59.7,60,Mid  
0.3,Good,F,SI1,4.19,4.22,2.67,63.5,59, Low  
0.31,Ideal,G,VS2,4.35,4.45,2.7,61.4,57, Low  
0.59,Ideal,E,VVS1,5.41,5.45,3.29,60.7,57,Mid  
0.31,Premium,G,VS1,4.3,4.28,2.66,62,59, Low  
1,Very Good,H,SI2,6.31,6.35,4.03,63.7,58,Mid  
0.33,Premium,D,VS2,4.44,4.41,2.71,61.2,58,Mid  
0.56,Ideal,G,VS1,5.31,5.35,3.25,61,56,Mid  
0.7,Ideal,I,VS2,5.72,5.75,3.52,61.4,56,Mid  
1.01,Ideal,G,VS2,6.44,6.5,3.97,61.4,57,High  
0.39,Premium,F,SI1,4.71,4.68,2.88,61.3,62, Low  
